Method,Bay,Buoy #,Day #,Replicate #,Sample Hour,Sample Period,Copper (µg/L),Date,Time
ICP,SAB,B4,D1,1,H11,Exposure,113.8253917,7/22/2019,17:28
ICP,SAB,B5,D1,1,H11,Exposure,119.4932919,7/22/2019,17:31
ICP,SAB,B1,D1,1,H12,Exposure,80.79046173,7/22/2019,18:04
ICP,SAB,B2,D1,1,H12,Exposure,65.59062467,7/22/2019,18:08
ICP,SAB,B3,D1,1,H12,Exposure,62.94029173,7/22/2019,18:11
ICP,SAB,B4,D1,1,H12,Exposure,114.5124752,7/22/2019,18:13
ICP,SAB,B5,D1,1,H12,Exposure,105.1970019,7/22/2019,18:15
ICP,ROB,B1,D2,1,.,Exposure,20.57265747,7/23/2019,9:28
ICP,ROB,B2,D2,1,.,Exposure,1,7/23/2019,9:35
ICP,ROB,B3,D2,1,.,Exposure,1,7/23/2019,9:44
ICP,ROB,B4,D2,1,.,Exposure,1,7/23/2019,9:50
ICP,ROB,B5,D2,1,.,Exposure,3.35,7/23/2019,9:56
ICP,SAB,B1,D2,1,.,Exposure,55.4469896,7/23/2019,10:22
ICP,SAB,B2,D2,1,.,Exposure,58.37194053,7/23/2019,10:27
ICP,SAB,B3,D2,1,.,Exposure,72.35484293,7/23/2019,10:31
ICP,SAB,B4,D2,1,.,Exposure,85.31035093,7/23/2019,10:36
ICP,SAB,B5,D2,1,.,Exposure,84.51018947,7/23/2019,10:41
ICP,SAB,B1,D3,1,H0,Exposure,49.253546,7/24/2019,4:38
ICP,SAB,B2,D3,1,H0,Exposure,62.532134,7/24/2019,4:49
ICP,SAB,B3,D3,1,H0,Exposure,64.3704592,7/24/2019,4:54
ICP,SAB,B4,D3,1,H0,Exposure,74.69071133,7/24/2019,4:57
ICP,SAB,B5,D3,1,H0,Exposure,75.051484,7/24/2019,5:03
ICP,SAB,B1,D3,1,H1,Exposure,52.5683468,7/24/2019,7:22
ICP,SAB,B2,D3,1,H1,Exposure,99.7897196,7/24/2019,7:25
ICP,SAB,B3,D3,1,H1,Exposure,72.65853813,7/24/2019,7:32
ICP,SAB,B4,D3,1,H1,Exposure,81.5583152,7/24/2019,7:36
ICP,SAB,B5,D3,1,H1,Exposure,76.36857347,7/24/2019,7:40
ICP,SAB,B1,D3,1,H2,Exposure,67.60987467,7/24/2019,8:09
ICP,SAB,B2,D3,1,H2,Exposure,119.3974448,7/24/2019,8:13
ICP,SAB,B3,D3,1,H2,Exposure,86.76421093,7/24/2019,8:20
ICP,SAB,B4,D3,1,H2,Exposure,71.82499173,7/24/2019,8:23
ICP,SAB,B5,D3,1,H2,Exposure,72.31930413,7/24/2019,8:27
ICP,SAB,B1,D3,1,H3,Exposure,75.1742544,7/24/2019,9:22
ICP,SAB,B2,D3,1,H3,Exposure,88.07268493,7/24/2019,9:25
ICP,SAB,B3,D3,1,H3,Exposure,102.9343649,7/24/2019,9:29
ICP,SAB,B4,D3,1,H3,Exposure,128.66661,7/24/2019,9:32
ICP,SAB,B5,D3,1,H3,Exposure,75.51779613,7/24/2019,9:36
ICP,SAB,B1,D3,1,H4,Exposure,85.16819573,7/24/2019,10:14
ICP,SAB,B2,D3,1,H4,Exposure,79.0027524,7/24/2019,10:17
ICP,SAB,B3,D3,1,H4,Exposure,92.71965227,7/24/2019,10:21
ICP,SAB,B4,D3,1,H4,Exposure,84.53172813,7/24/2019,10:24
ICP,SAB,B5,D3,1,H4,Exposure,126.9661323,7/24/2019,10:28
ICP,SAB,B1,D3,1,H5,Exposure,98.09247267,7/24/2019,11:21
ICP,SAB,B2,D3,1,H5,Exposure,85.11434907,7/24/2019,11:25
